SatName,Plane_ID,Sequence_Order,Inclination,RAAN,Arg_Lat,Mean_Motion
STARLINK-30977,77,27,43.00016051846506,127.24140221114602,229.3434922890087,15.088414070000002
STARLINK-31912,77,28,42.99399800880101,127.31195309969347,236.28336482091132,15.088054929999998
STARLINK-30935,77,29,42.989310951082615,127.18165188592064,250.52109881004,15.08841974
STARLINK-31886,77,30,42.983824531449315,127.24690458234315,257.53429049354787,15.088423039999999
STARLINK-31877,77,31,42.984093909698224,127.1937318063787,271.68857834047196,15.08835313
STARLINK-30956,77,32,42.98643698161057,126.54795289482006,286.3651802361914,15.088380129999997
STARLINK-31904,77,33,42.99009610234356,127.13292293293662,292.8488555241884,15.08836098
STARLINK-33914,77,34,42.98997863186873,126.56198127081785,300.5076964872258,15.08836262
STARLINK-30951,77,35,43.000407704558654,127.01082639666224,307.0647945174935,15.088380080000002
STARLINK-31917,77,36,43.00265752040687,127.06182197248073,314.0997956602583,15.08833882
STARLINK-30869,77,37,43.01235789681299,126.96863211490344,328.29157548875173,15.087966900000001
STARLINK-31884,77,38,43.014497764622426,127.04788583214165,335.23098421833254,15.17205523
STARLINK-30969,77,39,43.0187789026009,126.93717080881734,349.3873500022945,15.088383299999998
STARLINK-5781,78,1,42.990450236437724,130.48072241332443,62.755996075299244,15.088361089999998
STARLINK-5792,78,2,42.98468780367767,130.43878758318857,76.70996859777958,15.088399579999999
STARLINK-5942,78,3,42.984007681766194,130.4458759083664,78.70754491951296,15.0884063
STARLINK-5779,78,4,42.983000057419254,130.41725536375878,83.97654484745141,15.088374530000001
STARLINK-5936,78,5,42.98346020672168,130.37896640379594,98.13216822052584,15.088410060000001
STARLINK-33808,78,6,42.98880858305998,130.49252603662976,119.23199080087217,15.08833287
STARLINK-5785,78,7,42.99721549907581,130.2865531675868,126.47999171365358,15.088227860000002
STARLINK-5772,78,8,43.004914413148256,130.25379713042219,140.64982307102662,15.08844071
STARLINK-5939,78,9,43.01557075817224,130.23662471977985,154.999143783669,15.08833063
STARLINK-5774,78,10,43.019651163959956,130.2113595154532,161.86019539225825,15.08841162
STARLINK-33841,78,11,43.02632752419952,130.37831859154986,175.81483831776956,15.088390880000002
STARLINK-5770,78,12,43.022028633437294,130.18682226728743,183.03258932952244,15.08839487
STARLINK-5940,78,13,43.02148723993004,130.17088509604386,200.10794770292543,15.08838806
STARLINK-5783,78,14,43.01466412758527,130.15743347885737,204.8267839270567,15.08839624
STARLINK-5777,78,15,43.01308262627338,130.14038870099307,211.34830726170935,15.088417490000001
STARLINK-33884,78,16,43.00239338451705,130.3073980461811,218.35710510720654,15.08836764
STARLINK-33844,78,17,43.00181275437297,130.29735075252128,225.24928295219476,15.088432939999999
STARLINK-33769,78,18,42.99521775607827,130.27516900479446,232.3275866746389,15.088158629999999
STARLINK-33911,79,1,43.01838895539582,130.667023887782,6.093655264663821,15.08838039
STARLINK-5786,79,2,43.01293804860038,130.56384929393596,29.444521527238795,15.088433889999997
STARLINK-5949,79,3,43.00965640927054,130.5645174637771,34.368925457014335,15.08838593
STARLINK-33941,79,4,42.99233859106757,130.69736395110155,55.603938146237965,15.08835881
